rule,params,judge_weight,J,F,J_std,F_std,n_seasons,base_weight,delta,log_strength,Balance
Dynamic,"b=40%,δ=0.02",,0.5450693711139944,0.63125,0.523481934121663,0.45168953662886635,32,0.4,0.02,0.0,0.5850027614479606
Dynamic,"b=40%,δ=0.025",,0.5928321340926044,0.5687499999999999,0.5312589752643284,0.4798681459526148,32,0.4,0.025,0.0,0.5805414289335439
Dynamic,"b=40%,δ=0.03",,0.6717089312789258,0.503125,0.434805300855244,0.5046560555219763,32,0.4,0.03,0.0,0.5753214080123684
Dynamic,"b=43%,δ=0.01",,0.49187041905332657,0.6749999999999999,0.5864996182980972,0.4609772228646443,32,0.42500000000000004,0.01,0.0,0.569064957265473
Dynamic,"b=43%,δ=0.015",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.42500000000000004,0.015,0.0,0.5700829252608509
Dynamic,"b=43%,δ=0.02",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.42500000000000004,0.02,0.0,0.5820472073815903
Dynamic,"b=43%,δ=0.025",,0.625557558951978,0.54375,0.507310337416594,0.47758343511893286,32,0.42500000000000004,0.025,0.0,0.5817920525445117
Dynamic,"b=43%,δ=0.03",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.42500000000000004,0.03,0.0,0.5429149500569148
Dynamic,"b=45%,δ=0.01",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.45,0.01,0.0,0.5700829252608509
Dynamic,"b=45%,δ=0.015",,0.5513193711139945,0.6187499999999999,0.5276655244687039,0.4523808544799393,32,0.45,0.015,0.0,0.5830916850006214
Dynamic,"b=45%,δ=0.02",,0.5928321340926044,0.5687499999999999,0.5312589752643284,0.4798681459526148,32,0.45,0.02,0.0,0.5805414289335439
Dynamic,"b=45%,δ=0.025",,0.6881791274256361,0.484375,0.4228602657677401,0.526254082525732,32,0.45,0.025,0.0,0.5685652487435386
Dynamic,"b=45%,δ=0.03",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.45,0.03,0.0,0.5429149500569148
Dynamic,"b=48%,δ=0.01",,0.511546797550303,0.6593749999999999,0.5592345682078339,0.46088188223773774,32,0.47500000000000003,0.01,0.0,0.5761292855805357
