season,week,cv_mean,cv_std,cv_max,ci_width_mean
29,1,0.8786,0.0216,0.9104,0.2296
29,2,0.649,0.0481,0.7297,0.1696
29,3,0.6471,0.0506,0.7152,0.1812
29,4,0.6389,0.0547,0.711,0.1929
29,5,0.6251,0.0575,0.6927,0.2053
29,6,0.6227,0.0577,0.7011,0.2232
29,7,0.6209,0.0465,0.6929,0.2452
29,8,0.5853,0.1048,0.7299,0.2821
29,9,0.5766,0.0938,0.7288,0.324
29,10,0.4923,0.0718,0.5634,0.3085
29,11,0.5411,0.0164,0.557,0.5297
30,1,0.8698,0.0245,0.9268,0.2273
30,2,0.6522,0.0567,0.7471,0.1702
30,3,0.6231,0.1267,0.9102,0.1699
30,4,0.6182,0.0654,0.7434,0.1873
30,5,0.5538,0.1392,0.7699,0.186
30,6,0.6225,0.0545,0.6968,0.2451
30,7,0.5987,0.0655,0.6772,0.2626
30,8,0.4821,0.1083,0.63,0.2337
30,9,0.5155,0.1027,0.6277,0.3246
30,10,0.5515,0.0368,0.5837,0.5388
31,1,0.6547,0.0448,0.7212,0.1609
31,2,0.6788,0.0477,0.7809,0.1772
31,3,0.6404,0.046,0.7024,0.1802
31,4,0.6414,0.048,0.6964,0.1944
31,5,0.5996,0.121,0.7949,0.1883
31,6,0.604,0.0367,0.6624,0.2371
31,7,0.5966,0.0433,0.6533,0.2596
31,8,0.4997,0.0696,0.6038,0.2415
31,9,0.5773,0.0557,0.6653,0.3691
31,10,0.5532,0.0199,0.5745,0.5423
32,1,0.6505,0.0501,0.7107,0.1819
32,2,0.6367,0.087,0.7945,0.1911
32,3,0.6425,0.0494,0.7407,0.2102
32,4,0.5672,0.1037,0.734,0.1977
32,5,0.5975,0.0864,0.7339,0.2352
32,6,0.5558,0.1541,0.8009,0.226
32,7,0.4987,0.1462,0.6818,0.2195
32,8,0.5553,0.0944,0.636,0.2999
32,9,0.5286,0.0839,0.6033,0.3386
32,10,0.7582,0.0156,0.781,0.5944
32,11,0.5823,0.0339,0.6423,0.4552
33,1,0.8605,0.0307,0.9275,0.2594
33,2,0.6189,0.0818,0.8046,0.188
33,3,0.6203,0.0668,0.7051,0.2232
33,4,0.6095,0.0923,0.7366,0.2581
33,5,0.6002,0.0489,0.6661,0.2944
33,6,0.5738,0.0733,0.6877,0.3213
33,7,0.5897,0.0654,0.6902,0.3842
33,8,0.7545,0.014,0.774,0.5914
33,9,0.6199,0.0409,0.6597,0.4862
34,1,0.8823,0.0294,0.9271,0.247
34,2,0.6115,0.0685,0.7267,0.1706
34,3,0.6518,0.0514,0.7321,0.2131
34,4,0.5934,0.131,0.8014,0.2043
34,5,0.8602,0.0122,0.8814,0.3372
34,6,0.6277,0.0539,0.7072,0.2467
34,7,0.5924,0.1368,0.7814,0.2464
34,8,0.5789,0.0367,0.6228,0.2848
34,9,0.5108,0.1201,0.6539,0.2694
34,10,0.5069,0.1288,0.6375,0.2961
34,11,0.5979,0.0376,0.6375,0.4668
